rooms,size,level,max_levels,price,district_Мирабадский,district_Мирзо-Улугбекский,district_Олмазорский,district_Сергелийский,district_Учтепинский,district_Чиланзарский,district_Шайхантахурский,district_Юнусабадский,district_Яккасарайский,district_Янгихаётский,district_Яшнободский
3,70.0,5,5,46500.0,0,1,0,0,0,0,0,0,0,0,0
3,62.0,5,5,35000.0,0,1,0,0,0,0,0,0,0,0,0
2,50.0,1,4,34000.0,0,0,0,0,0,1,0,0,0,0,0
3,78.0,4,4,56000.0,0,0,0,0,0,0,0,1,0,0,0
2,62.0,2,9,63000.0,1,0,0,0,0,0,0,0,0,0,0
8,350.0,2,12,260000.0,1,0,0,0,0,0,0,0,0,0,0
3,63.0,4,4,40000.0,0,0,0,0,0,0,0,0,0,0,1
4,91.0,1,5,75000.0,0,1,0,0,0,0,0,0,0,0,0
3,81.0,6,9,54900.0,0,0,0,0,0,0,1,0,0,0,0
4,86.0,3,4,42000.0,0,1,0,0,0,0,0,0,0,0,0
2,54.0,3,5,54500.0,0,1,0,0,0,0,0,0,0,0,0
3,90.0,3,5,105000.0,1,0,0,0,0,0,0,0,0,0,0
2,40.0,2,5,37000.0,0,1,0,0,0,0,0,0,0,0,0
1,45.0,5,5,24000.0,0,0,0,0,0,0,0,1,0,0,0
3,89.55,7,9,40000.0,0,0,1,0,0,0,0,0,0,0,0
4,92.0,3,5,67000.0,0,1,0,0,0,0,0,0,0,0,0
4,95.0,1,4,77000.0,0,1,0,0,0,0,0,0,0,0,0
4,102.0,4,9,65000.0,0,1,0,0,0,0,0,0,0,0,0
2,65.0,5,9,31300.0,0,0,1,0,0,0,0,0,0,0,0
2,62.0,5,5,33500.0,0,1,0,0,0,0,0,0,0,0,0
2,56.0,3,5,38500.0,0,0,1,0,0,0,0,0,0,0,0
2,59.0,2,8,41500.0,0,1,0,0,0,0,0,0,0,0,0
3,96.0,6,9,64500.0,0,0,0,0,0,1,0,0,0,0,0
1,37.0,4,8,13075.0,0,0,0,0,0,0,0,0,0,0,1
2,70.0,8,9,48000.0,0,0,0,0,0,0,0,0,1,0,0
2,78.0,4,8,77000.0,1,0,0,0,0,0,0,0,0,0,0
4,145.0,7,8,115000.0,0,0,0,0,0,0,0,0,1,0,0
3,100.0,2,5,128000.0,0,1,0,0,0,0,0,0,0,0,0
2,54.0,4,4,33000.0,0,0,0,0,0,0,0,0,0,0,1
3,70.0,2,4,66000.0,1,0,0,0,0,0,0,0,0,0,0
5,116.0,3,5,80000.0,0,0,0,0,0,0,0,0,1,0,0
3,72.0,8,9,37700.0,0,0,0,0,0,1,0,0,0,0,0
1,70.0,6,7,60000.0,0,0,0,0,0,0,1,0,0,0,0
2,60.0,9,9,28500.0,0,1,0,0,0,0,0,0,0,0,0
2,52.0,4,5,38000.0,0,0,0,0,0,1,0,0,0,0,0
3,95.0,7,8,65000.0,0,0,0,0,0,0,0,0,1,0,0
2,44.0,1,4,38000.0,0,0,0,0,0,1,0,0,0,0,0
2,42.0,3,4,36500.0,0,0,0,0,0,1,0,0,0,0,0
2,43.0,2,4,36500.0,0,0,0,0,0,1,0,0,0,0,0
3,77.0,5,5,95000.0,0,0,0,0,0,1,0,0,0,0,0
1,24.0,3,4,20000.0,0,0,0,0,0,1,0,0,0,0,0
1,30.0,1,4,26000.0,0,0,0,0,0,1,0,0,0,0,0
2,41.0,1,4,36000.0,0,0,0,0,0,1,0,0,0,0,0
2,46.0,2,4,36000.0,0,0,0,0,0,0,0,1,0,0,0
2,42.0,2,4,36500.0,0,0,0,0,0,1,0,0,0,0,0
2,51.0,3,4,45000.0,0,0,0,0,0,0,0,1,0,0,0
3,62.0,5,5,33500.0,0,0,0,0,1,0,0,0,0,0,0
1,50.0,5,12,25000.0,0,0,0,0,0,0,0,0,0,0,1
4,107.0,6,9,75500.0,0,0,0,0,0,0,0,1,0,0,0
5,255.0,1,8,270000.0,0,0,0,0,0,0,0,1,0,0,0
6,266.0,1,8,285000.0,0,0,0,0,0,0,0,1,0,0,0
1,38.0,6,9,27500.0,0,0,1,0,0,0,0,0,0,0,0
4,210.0,4,8,265000.0,0,0,0,0,0,0,0,0,1,0,0
4,110.0,7,9,75000.0,0,0,0,0,0,0,0,0,1,0,0
2,55.62,5,9,31000.0,0,0,1,0,0,0,0,0,0,0,0
2,66.0,8,9,31507.0,0,0,0,1,0,0,0,0,0,0,0
2,53.0,3,5,54000.0,0,0,0,0,0,0,0,0,1,0,0
4,119.0,2,5,110000.0,0,0,1,0,0,0,0,0,0,0,0
2,56.0,1,4,35000.0,0,1,0,0,0,0,0,0,0,0,0
3,68.0,4,4,24000.0,0,1,0,0,0,0,0,0,0,0,0
3,125.0,7,12,129999.0,1,0,0,0,0,0,0,0,0,0,0
4,140.0,8,10,105000.0,0,0,0,0,0,0,0,0,1,0,0
4,141.0,7,7,95000.0,0,0,0,0,0,0,0,0,1,0,0
4,74.0,4,4,47500.0,0,0,0,0,1,0,0,0,0,0,0
2,63.0,5,5,34997.0,0,1,0,0,0,0,0,0,0,0,0
2,41.0,4,4,32000.0,0,0,0,0,1,0,0,0,0,0,0
2,52.0,3,5,37000.0,1,0,0,0,0,0,0,0,0,0,0
3,68.0,3,4,39000.0,0,0,0,0,0,1,0,0,0,0,0
4,110.0,1,4,63500.0,1,0,0,0,0,0,0,0,0,0,0
2,60.0,6,9,35500.0,0,1,0,0,0,0,0,0,0,0,0
1,54.0,9,9,35000.0,0,0,0,0,0,1,0,0,0,0,0
2,60.0,5,5,35000.0,0,1,0,0,0,0,0,0,0,0,0
2,46.0,3,4,37500.0,0,0,0,0,0,1,0,0,0,0,0
4,94.0,4,5,73000.0,0,0,0,0,0,1,0,0,0,0,0
2,58.0,1,9,40000.0,0,0,0,0,0,1,0,0,0,0,0
4,92.0,3,5,62000.0,0,1,0,0,0,0,0,0,0,0,0
3,70.0,3,4,55000.0,0,0,0,0,0,1,0,0,0,0,0
2,42.0,4,4,37400.0,0,0,0,0,0,1,0,0,0,0,0
2,42.0,4,4,35800.0,0,0,0,0,0,1,0,0,0,0,0
2,75.0,4,12,60000.0,0,0,0,0,0,1,0,0,0,0,0
3,72.0,1,9,100000.0,0,0,0,0,0,0,0,1,0,0,0
3,85.0,7,9,52500.0,0,0,0,0,1,0,0,0,0,0,0
2,65.0,5,9,44000.0,0,0,0,0,0,0,0,1,0,0,0
2,65.0,9,9,56600.0,0,0,0,0,0,1,0,0,0,0,0
2,46.0,3,4,42000.0,0,0,0,0,0,1,0,0,0,0,0
2,60.94,9,9,36542.0,0,1,0,0,0,0,0,0,0,0,0
4,165.0,1,8,264999.0,1,0,0,0,0,0,0,0,0,0,0
4,215.0,5,8,259999.0,1,0,0,0,0,0,0,0,0,0,0
2,59.0,4,4,26500.0,0,0,0,0,0,0,0,0,0,0,1
2,66.82,5,7,65000.0,0,1,0,0,0,0,0,0,0,0,0
5,98.0,5,9,70000.0,0,0,0,0,0,1,0,0,0,0,0
2,48.0,1,4,34499.0,0,1,0,0,0,0,0,0,0,0,0
3,92.0,8,9,46000.0,0,0,0,0,1,0,0,0,0,0,0
4,128.0,1,7,87000.0,1,0,0,0,0,0,0,0,0,0,0
2,56.0,2,5,37500.0,1,0,0,0,0,0,0,0,0,0,0
1,45.0,1,5,36500.0,0,0,0,0,0,0,0,0,0,0,1
3,70.0,2,4,48000.0,0,0,0,0,0,1,0,0,0,0,0
2,56.0,2,5,37500.0,0,0,0,0,1,0,0,0,0,0,0
4,95.0,1,5,78000.0,0,1,0,0,0,0,0,0,0,0,0
2,100.0,8,9,150000.0,1,0,0,0,0,0,0,0,0,0,0
4,97.0,5,5,80000.0,0,1,0,0,0,0,0,0,0,0,0
4,130.0,4,9,98500.0,0,1,0,0,0,0,0,0,0,0,0
3,67.0,4,4,42000.0,0,0,0,0,0,0,0,1,0,0,0
4,95.0,5,5,50000.0,0,1,0,0,0,0,0,0,0,0,0
2,62.0,4,9,55000.0,0,0,0,0,0,0,0,1,0,0,0
